"","Site_ID_pseudonym","Reservoir_ID","Reservoir_Name","Sample_ID","Site_ID","Collection_Date","Depth_m","chl_a_ugL","Temp_C","pH","SPC_uScm","DO_mgL","DO_percent","Secchi_m","WaterDepth_m"
"54","C","GRY","Grayrocks","GRY_P1_20210714","P1","7/14/2021",0.5,4.646427,23.53333,8.533333,642,7.945,92.76667,2.45,11.2776
"55","C","GRY","Grayrocks","GRY_P1_20210902","P1","9/2/2021",0.5,NA,20.75,8.125,651,6.57,73.45,NA,15.24
"56","C","GRY","Grayrocks","GRY_P1_20220623","P1","6/23/2022",0.5,2.053553,18.9,8.63,558,10.9,117.5,4.672,16.52016
"57","C","GRY","Grayrocks","GRY_P1_20220726","P1","7/26/2022",0.5,6.779255,23,8.55,604,10.66,124.3,2.4384,16.4592
"58","C","GRY","Grayrocks","GRY_P1_20220817","P1","8/17/2022",0.5,3.351004,24.8,8.48,637,10.05,121.1,2.7432,16.39828
"59","C","GRY","Grayrocks","GRY_P1_20220930","P1","9/30/2022",0.5,5.371707,18.2,8.16,599,9.62,102.3,3.3528,14.0208
"60","B","GRY","Grayrocks","GRY_P2_20210604","P2","6/4/2021",0.5,2.554584,20.5,8.715,620,9.97,NA,4.1,15.8496
"61","B","GRY","Grayrocks","GRY_P2_20210714","P2","7/14/2021",0.5,6.897487,23.66667,8.61,645,8.096667,95.96667,2.55,12.192
"62","B","GRY","Grayrocks","GRY_P2_20210902","P2","9/2/2021",0.5,NA,21.1,8.42,650.3333,7.37,82.93333,NA,14.3256
"63","B","GRY","Grayrocks","GRY_P2_20220623","P2","6/23/2022",0.5,2.28391,19.3,8.79,557,11.11,120.5,3.6576,13.92936
"64","B","GRY","Grayrocks","GRY_P2_20220726","P2","7/26/2022",0.5,5.705386,23.1,8.5,604,10.78,126.2,2.5908,13.68552
"65","B","GRY","Grayrocks","GRY_P2_20220817","P2","8/17/2022",0.5,3.334066,24.9,8.45,636,10.1,121.9,2.5908,16.39824
"66","B","GRY","Grayrocks","GRY_P2_20220930","P2","9/30/2022",0.5,5.932355,18.1,8.14,599,9.25,98.1,1.2192,12.16152
"67","A","GRY","Grayrocks","GRY_P3_20210604","P3","6/4/2021",0.5,NA,18.9,8.79,619,11.14,NA,2.05,10.3632
"68","A","GRY","Grayrocks","GRY_P3_20210714","P3","7/14/2021",0.5,NA,23.7,8.605,643.5,8.09,95.63333,2.25,12.192
"69","A","GRY","Grayrocks","GRY_P3_20210902","P3","9/2/2021",0.5,NA,21.4,8.48,652,7.583333,NA,NA,11.2776
"70","A","GRY","Grayrocks","GRY_P3_20220623","P3","6/23/2022",0.5,1.931673,19.3,8.75,558,11.14,120.8,2.8956,10.14984
"71","A","GRY","Grayrocks","GRY_P3_20220726","P3","7/26/2022",0.5,1.826584,23.5,8.48,604,10.68,126,2.5146,10.63752
"72","A","GRY","Grayrocks","GRY_P3_20220817","P3","8/17/2022",0.5,2.947879,25.2,8.46,637,9.79,119,2.5908,9.72312
"73","A","GRY","Grayrocks","GRY_P3_20220930","P3","9/30/2022",0.5,8.931048,18,8.29,599,10.18,107.7,1.2192,8.8392
"74","A","GUE","Guernsey","GUE_P1_20210611","P1","6/11/2021",0.5,1.807618,20.53333,8.626667,644,7.956667,90.03333,2.55,7.1628
"75","B","GUE","Guernsey","GUE_P2_20210611","P2","6/11/2021",0.5,0.9437802,21.4,8.676667,644,7.663333,85.93333,1.15,5.1816
"76","C","GUE","Guernsey","GUE_P3_20210611","P3","6/11/2021",0.5,NA,21.65,8.69,644,7.575,86.33333,1.35,1.95072
"77","A","OCE","Ocean Lakes","OCE_P1_20210617","P1","6/17/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","A","OCE","Ocean Lakes","OCE_P1_20210727","P1","7/27/2021",0.5,3.59119,23.83333,8.723333,1168,7.76,92.66667,0.75,4.8768
"79","A","OCE","Ocean Lakes","OCE_P1_20210810","P1","8/10/2021",0.5,3.342201,21.66667,8.5,1156.333,8.066667,93.43333,0.65,4.8768
"80","B","OCE","Ocean Lakes","OCE_P2_20210616","P2","6/16/2021",0.5,1.521366,23.16667,8.4,1199.667,8.303333,93.36667,1.35,5.4864
"81","B","OCE","Ocean Lakes","OCE_P2_20210727","P2","7/27/2021",0.5,3.225329,23.93333,8.786667,1167,7.78,92.76667,0.95,5.1816
"82","B","OCE","Ocean Lakes","OCE_P2_20210810","P2","8/10/2021",0.5,NA,21.2,8.55,1155,7.86,88.96667,0.65,4.8768
"83","C","OCE","Ocean Lakes","OCE_P3_20210616","P3","6/16/2021",0.5,NA,23,8.385,1198,8.36,97.76667,4.05,5.4864
"84","C","OCE","Ocean Lakes","OCE_P3_20210727","P3","7/27/2021",0.5,NA,23.4,8.795,1167,7.79,91.8,0.85,4.572
"85","A","PIL","Pilot Butte","PIL_P1_20210617","P1","6/17/2021",0.5,1.750029,18.63333,7.976667,152.35,4.825,93.33333,1.4,8.5344
"86","B","PIL","Pilot Butte","PIL_P2_20210617","P2","6/17/2021",0.5,1.448533,19.36667,7.89,165.3,8.53,92.5,2.1,16.764
"87","B","PIL","Pilot Butte","PIL_P2_DUP_20210617","P2_DUP","6/17/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","C","PIL","Pilot Butte","PIL_P3_20210617","P3","6/17/2021",0.5,NA,19.8,8.07,164.7,8.45,92.56667,2.15,18.8976
"89","B","SAR","Saratoga","SAR_P2_20220812","P2","8/12/2022",0.5,4.489237,22.9,8.38,428.4,8.93,104.3,0.6096,3.5052
"90","C","SAR","Saratoga","SAR_P3_20220621","P3","6/21/2022",0.5,0.7865904,17.4,8.71,337.4,10.41,108.7,2.9812,NA
"91","A","VIV","Viva Naughton","VIV_P1_20210629","P1","6/29/2021",0.5,NA,18.93333,8.283333,366.7333,9.13,98.66667,NA,7.04088
"92","A","VIV","Viva Naughton","VIV_P1_20210827","P1","8/27/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","B","VIV","Viva Naughton","VIV_P2_20210629","P2","6/29/2021",0.5,NA,18.7,8.306667,323.0333,9.096667,98,7.95,11.8872
"94","C","VIV","Viva Naughton","VIV_P3_20210629","P3","6/29/2021",0.5,NA,18.55,8.315,323.3,9.06,96.86667,6.95,18.288
"95","A","WHE","Wheatland 3","WHE_P1_20210602","P1","6/2/2021",0.5,1.191075,13.5,NA,1040,8.415,NA,3.95,6.4008
"96","A","WHE","Wheatland 3","WHE_P1_20210707","P1","7/7/2021",0.5,1.96006,20.3,8.453333,1059,6.84,73.56667,2.2,4.2672
"97","A","WHE","Wheatland 3","WHE_P1_20210903","P1","9/3/2021",0.5,NA,16.76667,9.033333,1123,8.703333,89.86667,NA,5.1816
"98","A","WHE","Wheatland 3","WHE_P1_20220623","P1","6/23/2022",0.5,5.746037,16.3,8.79,975,10.95,111.9,1.3716,4.572
"99","A","WHE","Wheatland 3","WHE_P1_20221017","P1","10/17/2022",0.5,3.537322,8.7,8.53,1119,1.96,102,2.7432,5.24256
"100","B","WHE","Wheatland 3","WHE_P2_20210602","P2","6/2/2021",0.5,1.539998,13.4,NA,1040,8.405,NA,2.95,3.9624
"101","B","WHE","Wheatland 3","WHE_P2_20210707","P2","7/7/2021",0.5,1.775436,20.3,8.52,1051,7.306667,80.06667,1.75,3.6576
"102","B","WHE","Wheatland 3","WHE_P2_20210903","P2","9/3/2021",0.5,NA,16.86667,9.1,1122.667,9.49,98.16667,NA,3.048
"103","B","WHE","Wheatland 3","WHE_P2_20220907","P2","9/7/2022",0.5,0.8737726,21.3,9.41,1132,13.87,157,2.8956,2.8956
"104","B","WHE","Wheatland 3","WHE_P2_20221017","P2","10/17/2022",0.5,2.861495,8.5,8.9,1120,12.44,106.7,2.7432,2.7432
"105","C","WHE","Wheatland 3","WHE_P3_20210602","P3","6/2/2021",0.5,1.539998,13.8,8.64,1040,8.465,NA,3.45,3.9624
"106","C","WHE","Wheatland 3","WHE_P3_20210707","P3","7/7/2021",0.5,NA,20.25,8.53,1051,7.49,83,2.05,3.048
"107","C","WHE","Wheatland 3","WHE_P3_20210903","P3","9/3/2021",0.5,NA,17.2,9.013333,1119,8.826667,91.93333,NA,2.4384
"108","C","WHE","Wheatland 3","WHE_P3_20220907","P3","9/7/2022",0.5,1.69108,21.4,9.38,1139,12.08,137.1,1.9812,2.5908
"109","C","WHE","Wheatland 3","WHE_P3_20221017","P3","10/17/2022",0.5,1.687014,8.4,9.03,1126,13,111.1,2.7432,4.81584
"110","C","WHE","Wheatland 3","WHE_P3_DUP_20210602","P3_DUP","6/2/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","B","ALS","Alsop","ALS_P2_20220621","P2","6/21/2022",0.5,0.943775,15.4,8.93,1372,9.33,93.7,2.286,NA
"112","B","ALS","Alsop","ALS_P2_20220902","P2","9/2/2022",0.5,0.4928855,19.4,9.32,1600,12.56,137.3,4.2672,2.6482
"113","A","ALS","Alsop","ALS_P3_20220621","P3","6/21/2022",0.5,1.135852,15.4,8.92,1371,8.54,85.8,2.1336,NA
"114","A","ALS","Alsop","ALS_P3_20220902","P3","9/2/2022",0.5,0.5023708,19.9,9.21,1602,12.6,138.8,2.1336,2.1336
"115","C","BOY","Boysen","BOY_LPD_20220615","LPD_30m","6/15/2022",0.5,3.6,16.1,9.2,577.3,8.6,103.8,2.2,30
"116","C","BOY","Boysen","BOY_LPD_20220712","LPD_30m","7/12/2022",0.5,2.9,20.1,7.9,474.3,7.2,94.1,5,30.43
"117","A","BOY","Boysen","BOY_RPD_20220829","RPD_12m","8/29/2022",0.5,33,22.4,8.7,487.2,7.1,97.1,1.45,12.44492
"118","B","BOY","Boysen","BOY_TPD_20220829","TPD_16m","8/29/2022",0.5,8.4,22.5,8.6,484.6,6.9,93.9,2,16
"119","B","BOY","Boysen","BOY_TPD_20220712","TPD_17m","7/12/2022",0.5,3.1,21.9,8,413.6,7.2,97.9,3.58,17
"120","A","GRN","Granite","GRN_P1_11m_20220920","P1_11m","9/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","B","GRN","Granite","GRN_P2_20221019","P2","10/19/2022",0.5,1.318444,10.5,7.92,101.4,11.31,101.3,2.8956,12.46632
"122","B","GRN","Granite","GRN_P2_11m_20220920_20220920","P2_11m_20220920","9/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","C","GRN","Granite","GRN_P3_11m_20220920","P3_11m","9/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","B","GRY","Grayrocks","GRY_P2_3m_20221020","P2_3m","10/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","A","GRY","Grayrocks","GRY_P3_20221020","P3","10/20/2022",0.5,7.020442,13.5,8.26,592,12.61,121.3,1.0668,9.69264
"126","C","GRY","Grayrocks","GRY_P1_3M_DUP_20221020","P1_3M_DUP","10/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","C","NFL","New Forks Lake","NFL_P1_20210817","P1","8/17/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"128","C","NFL","New Forks Lake","NFL_P1_20210914","P1","9/14/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"129","C","NFL","New Forks Lake","NFL_P1_20211019","P1","10/19/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"130","B","NFL","New Forks Lake","NFL_P2_20210720","P2","7/20/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"131","B","NFL","New Forks Lake","NFL_P2_20210817","P2","8/17/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"132","B","NFL","New Forks Lake","NFL_P2_20210914","P2","9/14/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"133","B","NFL","New Forks Lake","NFL_P2_20211019","P2","10/19/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"134","A","NFL","New Forks Lake","NFL_P3_20210720","P3","7/20/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"135","A","NFL","New Forks Lake","NFL_P3_20210817","P3","8/17/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"136","A","NFL","New Forks Lake","NFL_P3_20210914","P3","9/14/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"137","A","NFL","New Forks Lake","NFL_P3_20211019","P3","10/19/2021",0.5,NA,NA,NA,NA,NA,NA,NA,30.48
"138","A","SAR","Saratoga","SAR_P1_20220621","P1","6/21/2022",0.5,1.345544,17.1,8.85,340.4,10.55,109.6,2.1336,2.8956
"139","A","SAR","Saratoga","SAR_P1_20220712","P1","7/12/2022",0.5,2.914003,21.1,8.26,419.3,9.12,102.6,1.2192,2.7432
"140","A","SAR","Saratoga","SAR_P1_20220728","P1","7/28/2022",0.5,4.47839,21.5,8.3,385.8,8.44,96,0.9906,2.83464
"141","A","SAR","Saratoga","SAR_P1_20220812","P1","8/12/2022",0.5,4.31647,22.5,8.47,416.8,9.56,110.6,0.762,2.5908
"142","A","SAR","Saratoga","SAR_P1_20220819","P1","8/19/2022",0.5,5.617308,21.2,8.34,417.9,8.76,98.5,1.0668,2.5908
"143","A","SAR","Saratoga","SAR_P1_20220912","P1","9/12/2022",0.5,NA,17.1,8.43,446.3,9.73,100.9,0.381,2.7432
"144","B","SAR","Saratoga","SAR_P2_20220621","P2","6/21/2022",0.5,2.058634,17.8,8.74,337.7,10.3,108.3,1.6764,3.81
"145","B","SAR","Saratoga","SAR_P2_20220712","P2","7/12/2022",0.5,3.076608,20.9,8.09,422.8,8.82,98.7,1.0668,3.6576
"146","B","SAR","Saratoga","SAR_P2_20220728","P2","7/28/2022",0.5,2.383724,21.2,8.31,393.2,8.77,98.9,0.4572,3.6576
"147","B","SAR","Saratoga","SAR_P2_20220819","P2","8/19/2022",0.5,5.145071,21.5,8.29,429.9,8.73,98.9,0.6858,3.449
"148","B","SAR","Saratoga","SAR_P2_20220912","P2","9/12/2022",0.5,NA,17.95,8.43,458.35,9.4,99.3,0.3048,3.3528
"149","C","SAR","Saratoga","SAR_P3_20220712","P3","7/12/2022",0.5,2.594235,20.2,8.1,423.4,8.41,93,1.0668,2.7432
"150","C","SAR","Saratoga","SAR_P3_20220728","P3","7/28/2022",0.5,2.485352,20.8,8.33,393.5,8.6,93,0.6858,2.5908
"151","C","SAR","Saratoga","SAR_P3_20220812","P3","8/12/2022",0.5,2.687034,22.1,8.32,429.3,8.69,99.6,0.6858,2.4384
"152","C","SAR","Saratoga","SAR_P3_20220819","P3","8/19/2022",0.5,2.574179,21.1,8.31,430.9,8.76,98.5,0.6096,2.286
"153","C","SAR","Saratoga","SAR_P3_20220912","P3","9/12/2022",0.5,NA,18.3,8.485,458.4,9.765,104.05,0.381,2.286
"154","A","WHE","Wheatland 3","WHE_P1_20220726","P1","7/26/2022",0.5,1.206653,19.3,8.5,1088,8.82,95.9,0.8382,NA
"155","A","WHE","Wheatland 3","WHE_P1_20220817","P1","8/17/2022",0.5,3.727027,20.2,8.68,1172,9.39,104,1.905,6.096
"156","A","WHE","Wheatland 3","WHE_P1_20220907","P1","9/7/2022",0.5,1.435824,20.9,9.12,1137,12.06,135.6,4.7244,5.6388
"157","B","WHE","Wheatland 3","WHE_P2_20220623","P2","6/23/2022",0.5,2.842864,15.8,8.81,973,11.77,119.1,1.6764,2.77368
"158","B","WHE","Wheatland 3","WHE_P2_20220726","P2","7/26/2022",0.5,1.244933,19,8.5,1088,9.33,100.9,2.7432,NA
"159","B","WHE","Wheatland 3","WHE_P2_20220817","P2","8/17/2022",0.5,9.208831,20.2,9.18,1156,11.99,132.9,3.048,2.83464
"160","C","WHE","Wheatland 3","WHE_P3_20220623","P3","6/23/2022",0.5,2.165344,15.8,8.88,971,11.1,112.2,1.6764,5.15112
"161","C","WHE","Wheatland 3","WHE_P3_20220726","P3","7/26/2022",0.5,0.8536649,19,8.8,1080,9.82,106.2,1.0668,NA
"162","C","WHE","Wheatland 3","WHE_P3_20220817","P3","8/17/2022",0.5,10.20479,20.1,9.06,1166,9.98,110.5,2.286,2.286
